1),,,,
customer_id,total_spent,,,
A,76,,,
B,74,,,
C,36,,,
,,,,
2),,,,
customer_id,days_of_visiting,,,
A,4,,,
B,6,,,
C,2,,,
,,,,
3),,,,
customer_id,product_name,order_date,row_numbers,
A,sushi,1/1/2021,1,
B,curry,1/1/2021,1,
C,ramen,1/1/2021,1,
,,,,
4),,,,
product_name,total_purchase_quantity,row_numbers,,
ramen,8,1,,
,,,,
5),,,,
customer_id,product_name,total_purchase_quantity,ranks,
A,ramen,3,1,
B,curry,2,1,
B,sushi,2,1,
B,ramen,2,1,
C,ramen,3,1,
,,,,
6),,,,
customer_id,join_date,order_date,product_name,
A,1/7/2021,1/7/2021,curry,
B,1/9/2021,1/11/2021,sushi,
,,,,
7),,,,
customer_id,join_date,order_date,product_name,
A,1/7/2021,1/1/2021,sushi,
A,1/7/2021,1/1/2021,curry,
B,1/9/2021,1/4/2021,sushi,
,,,,
8),,,,
customer_id,total_number_of_items,total_purchase_amount,,
A,2,25,,
B,3,40,,
,,,,
9),,,,
customer_id,points,,,
A,860,,,
B,940,,,
C,360,,,
,,,,
10),,,,
customer_id,new_points,,,
A,1370,,,
B,1020,,,
